run_id,condition,order,rounds,convergence,experts,tokens,in_tokens,out_tokens,cost_usd,truncated,agent_turns,red_line_declarations,transcript_chars,agreement,position_move,dqi_justif_level,dqi_justif_content,dqi_respect,dqi_constructive,dqi_individuation,kappa_mean,judge_notes,run_folder,eval_cost_usd,eval_calls
main,main scenario,salience,4,plateauing,2,448645,411550,37095,0.4756,0,29,14,150518,False,0.25,1.938,1.562,1.542,1.917,2.0,0.45,,sensitivity_20260723_000046/main,,
layer_salience_low,layer salience = 1 (extreme-low),salience,4,plateauing,2,533323,491748,41575,0.5559,0,30,11,178726,False,0.167,1.938,1.625,1.771,1.938,2.0,0.552,,sensitivity_20260723_000046/layer_salience_low,,
layer_salience_high,layer salience = 10 (extreme-high),salience,4,plateauing,2,507167,467081,40086,0.5307,0,29,18,170965,False,0.167,1.958,1.5,1.583,1.896,2.0,0.509,,sensitivity_20260723_000046/layer_salience_high,,
layer_motivation_low,layer motivation = 1 (extreme-low),salience,4,plateauing,2,410749,377896,32853,0.4313,0,28,12,136923,False,0.25,1.917,1.583,1.667,1.917,2.0,0.545,,sensitivity_20260723_000046/layer_motivation_low,,
layer_motivation_high,layer motivation = 10 (extreme-high),salience,4,plateauing,2,440663,405102,35561,0.4639,0,28,11,149844,False,0.333,1.958,1.729,1.583,1.958,2.0,0.507,,sensitivity_20260723_000046/layer_motivation_high,,
layer_position_low,layer position = 1 (extreme-low),salience,4,plateauing,2,510315,469838,40477,0.5345,0,30,10,174462,False,0.0,1.958,1.583,1.625,1.938,2.0,0.454,,sensitivity_20260723_000046/layer_position_low,,
layer_position_high,layer position = 10 (extreme-high),salience,4,plateauing,2,494378,454905,39473,0.5188,0,30,14,165443,False,0.5,1.979,1.583,1.625,1.938,2.0,0.403,,sensitivity_20260723_000046/layer_position_high,,
layer_interaction_low,layer interaction = 1 (extreme-low),salience,4,plateauing,2,443429,409542,33887,0.4596,0,30,15,140618,False,0.0,1.958,1.438,1.625,1.938,2.0,0.322,,sensitivity_20260723_000046/layer_interaction_low,,
layer_interaction_high,layer interaction = 10 (extreme-high),salience,4,plateauing,2,432742,396816,35926,0.4593,0,27,11,151643,False,0.167,1.938,1.583,1.75,2.0,2.0,0.649,,sensitivity_20260723_000046/layer_interaction_high,,
order_reversed,order: reversed,reversed,4,plateauing,2,455081,417820,37261,0.481,0,29,1,156082,False,0.333,2.0,1.375,1.458,1.938,2.0,0.468,,sensitivity_20260723_000046/order_reversed,,
order_random,order: random,random,4,plateauing,2,481651,443706,37945,0.5035,0,29,10,160385,False,0.083,1.958,1.479,1.625,1.958,2.0,0.545,,sensitivity_20260723_000046/order_random,,
main_r2,main scenario [rep 2],salience,4,plateauing,2,428981,396324,32657,0.4442,0,30,13,134200,False,0.167,2.0,1.5,1.583,2.0,2.0,0.769,,data\sensitivity_20260723_000046\main_r2,,
main_r3,main scenario [rep 3],salience,4,plateauing,2,520776,480684,40092,0.5409,0,30,9,169568,False,0.167,1.958,1.521,1.604,1.958,2.0,0.644,,data\sensitivity_20260723_000046\main_r3,,
layer_salience_low_r2,layer salience = 1 (extreme-low) [rep 2],salience,4,plateauing,2,487868,448251,39617,0.5145,0,29,12,165504,False,0.0,1.958,1.396,1.688,1.979,2.0,0.353,,data\sensitivity_20260723_000046\layer_salience_low_r2,,
